,date,province,total,admitted,deaths
179,2020-03-27,Zuid-Holland,1257,402,29
180,2020-03-28,Drenthe,99,24,3
181,2020-03-28,Flevoland,119,68,5
182,2020-03-28,Friesland,96,45,3
183,2020-03-28,Gelderland,1091,373,62
184,2020-03-28,Groningen,135,30,1
185,2020-03-28,Limburg,1094,395,115
186,2020-03-28,Noord-Brabant,2750,727,286
187,2020-03-28,Noord-Holland,1399,446,53
188,2020-03-28,Overijssel,521,134,33
189,2020-03-28,Utrecht,822,166,32
190,2020-03-28,Zeeland,121,63,7
191,2020-03-28,Zuid-Holland,1515,483,39
192,2020-03-29,Drenthe,114,26,3
193,2020-03-29,Flevoland,137,77,5
194,2020-03-29,Friesland,119,56,4
195,2020-03-29,Gelderland,1274,442,75
196,2020-03-29,Groningen,143,34,1
197,2020-03-29,Limburg,1191,445,137
198,2020-03-29,Noord-Brabant,3020,906,341
199,2020-03-29,Noord-Holland,1552,524,65
200,2020-03-29,Overijssel,595,152,38
201,2020-03-29,Utrecht,912,182,41
202,2020-03-29,Zeeland,134,67,8
203,2020-03-29,Zuid-Holland,1675,572,53
204,2020-03-30,Drenthe,118,30,3
205,2020-03-30,Flevoland,144,86,5
206,2020-03-30,Friesland,124,60,6
207,2020-03-30,Gelderland,1378,498,93
208,2020-03-30,Groningen,148,38,1
209,2020-03-30,Limburg,1306,498,157
210,2020-03-30,Noord-Brabant,3235,1119,370
211,2020-03-30,Noord-Holland,1699,577,77
212,2020-03-30,Overijssel,652,172,40
213,2020-03-30,Utrecht,981,214,42
214,2020-03-30,Zeeland,148,73,10
215,2020-03-30,Zuid-Holland,1817,625,60
216,2020-03-31,Drenthe,127,38,4
217,2020-03-31,Flevoland,163,98,6
218,2020-03-31,Friesland,131,64,11
219,2020-03-31,Gelderland,1478,541,117
220,2020-03-31,Groningen,159,41,2
221,2020-03-31,Limburg,1424,528,171
222,2020-03-31,Noord-Brabant,3415,1336,446
223,2020-03-31,Noord-Holland,1844,704,101
224,2020-03-31,Overijssel,693,252,51
225,2020-03-31,Utrecht,1044,319,52
226,2020-03-31,Zeeland,161,77,12
227,2020-03-31,Zuid-Holland,1956,714,66
228,2020-04-01,Drenthe,148,43,5
229,2020-04-01,Flevoland,186,106,7
230,2020-04-01,Friesland,145,72,11
231,2020-04-01,Gelderland,1618,615,144
232,2020-04-01,Groningen,167,44,2
233,2020-04-01,Limburg,1511,562,184
234,2020-04-01,Noord-Brabant,3563,1458,480
235,2020-04-01,Noord-Holland,2015,764,118
236,2020-04-01,Overijssel,773,278,63
237,2020-04-01,Utrecht,1106,335,60
238,2020-04-01,Zeeland,178,87,14
239,2020-04-01,Zuid-Holland,2204,795,85
240,2020-04-02,Drenthe,163,44,8
241,2020-04-02,Flevoland,200,124,8
242,2020-04-02,Friesland,166,78,13
243,2020-04-02,Gelderland,1732,656,156
244,2020-04-02,Groningen,173,46,2
245,2020-04-02,Limburg,1597,833,224
246,2020-04-02,Noord-Brabant,3792,1560,526
247,2020-04-02,Noord-Holland,2199,808,142
248,2020-04-02,Overijssel,860,310,73
249,2020-04-02,Utrecht,1195,370,75
250,2020-04-02,Zeeland,194,91,16
251,2020-04-02,Zuid-Holland,2426,864,96
252,2020-04-03,Drenthe,174,49,9
253,2020-04-03,Flevoland,222,135,11
254,2020-04-03,Friesland,182,85,14
255,2020-04-03,Gelderland,1884,700,175
256,2020-04-03,Groningen,179,47,4
257,2020-04-03,Limburg,1709,917,232
258,2020-04-03,Noord-Brabant,3948,1696,577
259,2020-04-03,Noord-Holland,2370,886,150
260,2020-04-03,Overijssel,939,322,81
261,2020-04-03,Utrecht,1268,418,89
262,2020-04-03,Zeeland,217,95,22
263,2020-04-03,Zuid-Holland,2631,935,123
264,2020-04-04,Drenthe,194,56,11
265,2020-04-04,Flevoland,231,145,13
266,2020-04-04,Friesland,199,89,16
267,2020-04-04,Gelderland,1985,729,187
268,2020-04-04,Groningen,186,49,5
269,2020-04-04,Limburg,1760,954,250
270,2020-04-04,Noord-Brabant,4085,1753,629
271,2020-04-04,Noord-Holland,2543,963,180
272,2020-04-04,Overijssel,1051,344,97
273,2020-04-04,Utrecht,1330,442,100
274,2020-04-04,Zeeland,236,100,25
275,2020-04-04,Zuid-Holland,2827,997,138
276,2020-04-05,Drenthe,210,56,11
277,2020-04-05,Flevoland,250,153,14
278,2020-04-05,Friesland,217,93,16
279,2020-04-05,Gelderland,2114,763,201
280,2020-04-05,Groningen,199,52,5
281,2020-04-05,Limburg,1903,1009,274
282,2020-04-05,Noord-Brabant,4262,1778,662
283,2020-04-05,Noord-Holland,2772,991,196
284,2020-04-05,Overijssel,1133,355,100
285,2020-04-05,Utrecht,1423,479,112
286,2020-04-05,Zeeland,243,100,26
287,2020-04-05,Zuid-Holland,3125,1045,151
288,2020-04-06,Drenthe,218,60,11
289,2020-04-06,Flevoland,260,155,14
290,2020-04-06,Friesland,225,96,19
291,2020-04-06,Gelderland,2210,797,219
292,2020-04-06,Groningen,203,52,5
293,2020-04-06,Limburg,2010,1068,287
294,2020-04-06,Noord-Brabant,4455,1791,673
295,2020-04-06,Noord-Holland,2888,1017,206
296,2020-04-06,Overijssel,1206,368,113
297,2020-04-06,Utrecht,1476,515,121
298,2020-04-06,Zeeland,280,105,26
299,2020-04-06,Zuid-Holland,3372,1110,173
300,2020-04-07,Drenthe,221,69,13
301,2020-04-07,Flevoland,271,159,15
302,2020-04-07,Friesland,230,97,21
