,Rt_low,Rt_avg,Rt_up,date
67,0.46,0.77,1.12,2020-04-24
68,0.51,0.77,1.05,2020-04-25
69,0.44,0.75,1.11,2020-04-26
70,0.45,0.73,1.03,2020-04-27
71,0.43,0.72,1.03,2020-04-28
72,0.39,0.71,1.08,2020-04-29
73,0.36,0.69,1.05,2020-04-30
74,0.39,0.69,1.04,2020-05-01
75,0.35,0.72,1.15,2020-05-02
76,0.36,0.76,1.21,2020-05-03
77,0.39,0.8,1.27,2020-05-04
78,0.4,0.83,1.33,2020-05-05
79,0.38,0.83,1.38,2020-05-06
80,0.36,0.82,1.33,2020-05-07
81,0.42,0.82,1.28,2020-05-08
82,0.3,0.81,1.44,2020-05-09
83,0.3,0.78,1.36,2020-05-10
84,0.38,0.77,1.25,2020-05-11
85,0.3,0.78,1.4,2020-05-12
86,0.3,0.8,1.44,2020-05-13
87,0.33,0.84,1.44,2020-05-14
88,0.33,0.91,1.56,2020-05-15
89,0.33,1.0,1.86,2020-05-16
90,0.33,1.08,2.0,2020-05-17
91,0.5,1.13,1.89,2020-05-18
92,0.25,1.08,2.2,2020-05-19
93,0.4,0.96,1.6,2020-05-20
94,0.36,0.88,1.45,2020-05-21
95,0.36,0.88,1.45,2020-05-22
96,0.2,0.88,1.8,2020-05-23
97,0.0,0.8,1.75,2020-05-24
98,0.33,0.73,1.21,2020-05-25
99,0.0,0.68,1.4,2020-05-26
100,0.0,0.56,1.4,2020-05-27
101,0.09,0.48,0.92,2020-05-28
102,0.0,0.48,1.25,2020-05-29
103,0.0,0.52,1.2,2020-05-30
104,0.0,0.58,1.99,2020-05-31
105,0.0,0.67,1.66,2020-06-01
106,0.0,0.82,1.99,2020-06-02
107,0.0,0.96,2.98,2020-06-03
108,0.0,1.01,2.97,2020-06-04
109,0.0,1.05,2.31,2020-06-05
110,0.0,1.14,2.95,2020-06-06
111,0.0,1.26,2.93,2020-06-07
112,0.0,1.3,3.88,2020-06-08
113,0.0,1.18,3.86,2020-06-09
114,0.0,0.96,2.23,2020-06-10
115,0.0,0.8,1.89,2020-06-11
116,0.0,0.75,1.87,2020-06-12
117,0.57,0.73,0.9,2020-06-13
118,0.57,0.73,0.89,2020-06-14
119,0.59,0.75,0.91,2020-06-15
120,0.6,0.79,0.99,2020-06-16
121,0.67,0.85,1.05,2020-06-17
122,0.69,0.92,1.16,2020-06-18
123,0.76,0.98,1.22,2020-06-19
124,0.8,1.02,1.26,2020-06-20
125,0.76,1.02,1.29,2020-06-21
126,0.77,0.97,1.18,2020-06-22
127,0.7,0.91,1.14,2020-06-23
128,0.71,0.89,1.09,2020-06-24
129,0.7,0.91,1.14,2020-06-25
130,0.7,0.94,1.19,2020-06-26
131,0.72,0.95,1.18,2020-06-27
132,0.7,0.94,1.2,2020-06-28
133,0.73,0.94,1.16,2020-06-29
134,0.72,0.97,1.22,2020-06-30
135,0.81,1.04,1.28,2020-07-01
136,0.92,1.18,1.45,2020-07-02
137,1.02,1.33,1.66,2020-07-03
138,1.12,1.43,1.77,2020-07-04
139,1.14,1.45,1.79,2020-07-05
140,1.2,1.44,1.68,2020-07-06
141,1.17,1.42,1.68,2020-07-07
142,1.21,1.43,1.66,2020-07-08
143,1.21,1.45,1.69,2020-07-09
144,1.22,1.44,1.67,2020-07-10
145,1.2,1.4,1.61,2020-07-11
146,1.12,1.32,1.52,2020-07-12
147,1.06,1.22,1.38,2020-07-13
148,0.99,1.15,1.32,2020-07-14
149,1.02,1.16,1.31,2020-07-15
150,1.03,1.21,1.39,2020-07-16
151,1.1,1.26,1.43,2020-07-17
152,1.12,1.29,1.46,2020-07-18
153,1.12,1.28,1.45,2020-07-19
154,1.13,1.27,1.41,2020-07-20
155,1.13,1.28,1.43,2020-07-21
156,1.2,1.34,1.47,2020-07-22
157,1.25,1.4,1.56,2020-07-23
158,1.28,1.43,1.58,2020-07-24
159,1.27,1.4,1.53,2020-07-25
160,1.2,1.33,1.46,2020-07-26
161,1.16,1.26,1.37,2020-07-27
162,1.13,1.24,1.35,2020-07-28
163,1.14,1.24,1.35,2020-07-29
164,1.14,1.25,1.36,2020-07-30
165,1.14,1.24,1.35,2020-07-31
166,1.1,1.2,1.3,2020-08-01
167,1.03,1.12,1.22,2020-08-02
168,0.97,1.05,1.13,2020-08-03
169,0.92,1.0,1.08,2020-08-04
170,0.89,0.97,1.05,2020-08-05
171,0.88,0.96,1.04,2020-08-06
172,0.89,0.97,1.05,2020-08-07
173,0.89,0.98,1.06,2020-08-08
174,0.88,0.96,1.05,2020-08-09
175,0.86,0.94,1.01,2020-08-10
176,0.84,0.92,1.0,2020-08-11
177,0.83,0.91,0.98,2020-08-12
178,0.83,0.91,0.99,2020-08-13
179,0.85,0.93,1.02,2020-08-14
180,0.88,0.96,1.05,2020-08-15
181,0.89,0.98,1.08,2020-08-16
182,0.91,1.0,1.09,2020-08-17
183,0.94,1.03,1.12,2020-08-18
184,0.98,1.07,1.16,2020-08-19
185,1.01,1.1,1.2,2020-08-20
186,1.03,1.13,1.22,2020-08-21
187,1.05,1.14,1.24,2020-08-22
188,1.05,1.15,1.24,2020-08-23
189,1.06,1.14,1.23,2020-08-24
190,1.07,1.16,1.25,2020-08-25
191,1.12,1.21,1.3,2020-08-26
192,1.2,1.29,1.38,2020-08-27
193,1.29,1.38,1.47,2020-08-28
194,1.34,1.44,1.54,2020-08-29
195,1.32,1.42,1.51,2020-08-30
196,1.29,1.37,1.44,2020-08-31
197,1.28,1.35,1.42,2020-09-01
198,1.28,1.36,1.43,2020-09-02
199,1.29,1.36,1.43,2020-09-03
200,1.29,1.36,1.42,2020-09-04
201,1.27,1.34,1.4,2020-09-05
202,1.22,1.29,1.35,2020-09-06
203,1.18,1.23,1.29,2020-09-07
204,1.17,1.22,1.27,2020-09-08
205,1.18,1.24,1.29,2020-09-09
206,1.21,1.26,1.32,2020-09-10
207,1.24,1.29,1.34,2020-09-11
208,1.24,1.29,1.34,2020-09-12
209,1.19,1.24,1.29,2020-09-13
210,1.14,1.18,1.23,2020-09-14
211,1.11,1.15,1.2,2020-09-15
212,1.11,1.15,1.2,2020-09-16
213,1.13,1.18,1.22,2020-09-17
214,1.15,1.2,1.24,2020-09-18
215,1.15,1.2,1.24,2020-09-19
216,1.12,1.17,1.21,2020-09-20
217,1.11,1.15,1.18,2020-09-21
218,1.12,1.16,1.2,2020-09-22
219,1.17,1.21,1.24,2020-09-23
220,1.23,1.27,1.31,2020-09-24
221,1.28,1.32,1.36,2020-09-25
222,1.31,1.35,1.39,2020-09-26
223,1.29,1.32,1.36,2020-09-27
224,1.26,1.29,1.32,2020-09-28
225,1.23,1.26,1.29,2020-09-29
226,1.21,1.24,1.27,2020-09-30
227,1.19,1.22,1.25,2020-10-01
228,1.17,1.2,1.23,2020-10-02
229,1.16,1.18,1.21,2020-10-03
230,1.12,1.15,1.18,2020-10-04
231,1.09,1.12,1.14,2020-10-05
232,1.08,1.11,1.13,2020-10-06
233,1.08,1.11,1.13,2020-10-07
234,1.09,1.12,1.14,2020-10-08
235,1.11,1.13,1.16,2020-10-09
236,1.11,1.13,1.16,2020-10-10
237,1.09,1.11,1.14,2020-10-11
238,1.06,1.09,1.11,2020-10-12
239,1.05,1.07,1.09,2020-10-13
240,1.05,1.07,1.09,2020-10-14
241,1.06,1.08,1.1,2020-10-15
242,1.06,1.08,1.1,2020-10-16
243,1.05,1.07,1.09,2020-10-17
244,1.01,1.03,1.05,2020-10-18
245,0.97,0.99,1.01,2020-10-19
246,0.93,0.95,0.97,2020-10-20
247,0.91,0.93,0.95,2020-10-21
248,0.89,0.91,0.93,2020-10-22
249,0.87,0.89,0.91,2020-10-23
250,0.85,0.87,0.89,2020-10-24
251,0.83,0.85,0.87,2020-10-25
252,0.81,0.83,0.85,2020-10-26
253,0.8,0.82,0.84,2020-10-27
254,0.81,0.83,0.85,2020-10-28
255,0.82,0.85,0.87,2020-10-29
256,0.84,0.86,0.88,2020-10-30
257,0.84,0.86,0.89,2020-10-31
258,0.84,0.86,0.89,2020-11-01
259,0.85,0.87,0.9,2020-11-02
260,0.87,0.89,0.92,2020-11-03
261,0.9,0.93,0.95,2020-11-04
262,0.93,0.96,0.99,2020-11-05
263,0.96,0.99,1.02,2020-11-06
264,0.98,1.01,1.03,2020-11-07
265,0.97,1.0,1.03,2020-11-08
266,0.96,0.99,1.02,2020-11-09
267,0.96,0.98,1.01,2020-11-10
268,0.96,0.99,1.01,2020-11-11
269,0.97,1.0,1.03,2020-11-12
270,0.98,1.0,1.03,2020-11-13
271,0.96,0.99,1.02,2020-11-14
272,0.93,0.96,0.99,2020-11-15
273,0.9,0.93,0.95,2020-11-16
274,0.9,0.92,0.95,2020-11-17
275,0.91,0.94,0.96,2020-11-18
276,0.93,0.96,0.99,2020-11-19
277,0.96,0.99,1.02,2020-11-20
278,0.98,1.01,1.04,2020-11-21
279,0.99,1.02,1.05,2020-11-22
280,1.0,1.02,1.05,2020-11-23
281,1.03,1.05,1.08,2020-11-24
282,1.07,1.1,1.13,2020-11-25
283,1.13,1.16,1.19,2020-11-26
284,1.19,1.22,1.25,2020-11-27
285,1.22,1.26,1.29,2020-11-28
286,1.22,1.25,1.28,2020-11-29
287,1.2,1.23,1.25,2020-11-30
288,1.19,1.21,1.24,2020-12-01
289,1.19,1.22,1.24,2020-12-02
290,1.2,1.23,1.26,2020-12-03
291,1.21,1.24,1.27,2020-12-04
292,1.21,1.23,1.26,2020-12-05
293,1.18,1.2,1.23,2020-12-06
294,1.14,1.16,1.18,2020-12-07
295,1.12,1.14,1.16,2020-12-08
296,1.11,1.14,1.16,2020-12-09
297,1.12,1.14,1.16,2020-12-10
298,1.12,1.14,1.16,2020-12-11
299,1.1,1.12,1.14,2020-12-12
300,1.04,1.06,1.08,2020-12-13
301,0.98,1.0,1.01,2020-12-14
302,0.93,0.95,0.97,2020-12-15
303,0.91,0.93,0.95,2020-12-16
304,0.89,0.91,0.93,2020-12-17
305,0.88,0.9,0.92,2020-12-18
306,0.87,0.88,0.9,2020-12-19
307,0.84,0.86,0.88,2020-12-20
308,0.82,0.84,0.86,2020-12-21
309,0.83,0.85,0.87,2020-12-22
310,0.86,0.87,0.89,2020-12-23
311,0.89,0.91,0.93,2020-12-24
312,0.92,0.94,0.96,2020-12-25
313,0.91,0.93,0.96,2020-12-26
314,0.89,0.91,0.93,2020-12-27
315,0.88,0.9,0.92,2020-12-28
316,0.9,0.92,0.94,2020-12-29
317,0.93,0.95,0.98,2020-12-30
318,0.95,0.98,1.0,2020-12-31
319,0.95,0.97,1.0,2021-01-01
320,0.91,0.94,0.96,2021-01-02
321,0.86,0.88,0.9,2021-01-03
322,0.82,0.84,0.86,2021-01-04
323,0.82,0.84,0.86,2021-01-05
324,0.83,0.85,0.88,2021-01-06
325,0.86,0.89,0.91,2021-01-07
326,0.9,0.92,0.95,2021-01-08
327,0.92,0.94,0.97,2021-01-09
328,0.91,0.94,0.97,2021-01-10
329,0.9,0.93,0.95,2021-01-11
330,0.9,0.92,0.95,2021-01-12
331,0.91,0.94,0.96,2021-01-13
332,0.93,0.95,0.98,2021-01-14
333,0.94,0.97,1.0,2021-01-15
334,0.95,,1.0,2021-01-16
335,0.93,,0.98,2021-01-17
336,0.9,,0.95,2021-01-18
337,0.88,,0.93,2021-01-19
338,0.89,,0.94,2021-01-20
339,0.9,,0.96,2021-01-21
340,0.92,,0.98,2021-01-22
341,0.93,,1.0,2021-01-23
342,0.92,,1.0,2021-01-24
343,0.9,,1.0,2021-01-25
344,0.87,,1.0,2021-01-26
345,0.85,,1.03,2021-01-27
346,0.84,,1.06,2021-01-28
347,0.84,,1.07,2021-01-29
