,date,total,admitted,deaths
79,2020-05-16,194,49,34
80,2020-05-17,125,11,10
81,2020-05-18,148,30,13
82,2020-05-19,111,33,24
83,2020-05-20,187,14,33
84,2020-05-21,254,13,29
85,2020-05-22,184,10,10
86,2020-05-23,177,13,23
87,2020-05-24,173,12,11
88,2020-05-25,213,10,9
89,2020-05-26,129,7,20
90,2020-05-27,194,10,19
91,2020-05-28,179,16,27
92,2020-05-29,178,10,29
93,2020-05-30,141,5,20
94,2020-05-31,176,7,4
95,2020-06-01,105,8,5
96,2020-06-02,96,6,4
97,2020-06-03,93,11,13
98,2020-06-04,188,10,12
99,2020-06-05,217,10,15
100,2020-06-06,190,6,8
101,2020-06-07,239,3,3
102,2020-06-08,166,7,3
103,2020-06-09,164,6,13
104,2020-06-10,181,4,14
105,2020-06-11,162,3,4
106,2020-06-12,207,5,7
107,2020-06-13,181,11,6
108,2020-06-14,144,8,1
109,2020-06-15,159,2,7
110,2020-06-16,134,2,4
111,2020-06-17,113,5,5
112,2020-06-18,125,3,3
113,2020-06-19,108,9,4
114,2020-06-20,90,2,8
115,2020-06-21,95,3,1
116,2020-06-22,68,1,0
117,2020-06-23,70,4,5
118,2020-06-24,80,5,3
119,2020-06-25,110,4,3
120,2020-06-26,94,5,2
121,2020-06-27,77,3,3
122,2020-06-28,66,3,0
123,2020-06-29,76,3,2
124,2020-06-30,57,2,5
125,2020-07-01,62,2,3
126,2020-07-02,75,0,3
127,2020-07-03,76,4,1
128,2020-07-04,65,1,7
129,2020-07-05,72,0,1
130,2020-07-06,41,0,0
131,2020-07-07,34,1,4
132,2020-07-08,57,6,4
133,2020-07-09,60,0,2
134,2020-07-10,65,3,0
135,2020-07-11,84,4,5
136,2020-07-12,96,2,0
137,2020-07-13,72,1,0
138,2020-07-14,98,8,11
139,2020-07-15,109,4,2
140,2020-07-16,119,2,2
141,2020-07-17,109,1,2
142,2020-07-18,145,3,1
143,2020-07-19,145,3,0
144,2020-07-20,183,2,0
145,2020-07-21,169,1,1
146,2020-07-22,170,1,2
147,2020-07-23,164,2,1
148,2020-07-24,155,4,0
149,2020-07-25,184,3,1
150,2020-07-26,213,2,0
151,2020-07-27,209,3,1
152,2020-07-28,224,4,4
153,2020-07-29,248,6,2
154,2020-07-30,341,3,0
155,2020-07-31,341,8,0
156,2020-08-01,431,4,1
157,2020-08-02,361,5,1
158,2020-08-03,372,7,0
159,2020-08-04,487,8,2
160,2020-08-05,428,5,3
161,2020-08-06,605,3,0
162,2020-08-07,517,4,1
163,2020-08-08,484,3,3
164,2020-08-09,577,9,0
165,2020-08-10,787,6,0
166,2020-08-11,620,8,2
167,2020-08-12,653,10,2
168,2020-08-13,576,6,4
169,2020-08-14,627,12,2
170,2020-08-15,657,7,2
171,2020-08-16,499,6,3
172,2020-08-17,487,5,0
173,2020-08-18,493,4,3
174,2020-08-19,554,18,6
175,2020-08-20,532,10,9
176,2020-08-21,533,18,1
177,2020-08-22,508,11,5
178,2020-08-23,455,7,0
179,2020-08-24,573,5,2
180,2020-08-25,416,15,5
181,2020-08-26,572,20,8
182,2020-08-27,509,7,3
183,2020-08-28,504,9,3
184,2020-08-29,503,2,4
185,2020-08-30,506,3,0
186,2020-08-31,526,10,0
187,2020-09-01,467,5,6
188,2020-09-02,721,6,5
189,2020-09-03,601,5,2
190,2020-09-04,744,7,2
191,2020-09-05,651,5,5
192,2020-09-06,920,5,2
193,2020-09-07,797,8,0
194,2020-09-08,970,6,1
195,2020-09-09,1141,9,2
196,2020-09-10,837,16,3
197,2020-09-11,1272,10,3
198,2020-09-12,1224,6,1
199,2020-09-13,1089,17,1
200,2020-09-14,1297,8,2
201,2020-09-15,1376,25,2
202,2020-09-16,1539,15,2
203,2020-09-17,1742,14,6
204,2020-09-18,1960,12,6
205,2020-09-19,1892,32,3
206,2020-09-20,1845,20,4
207,2020-09-21,2218,26,2
208,2020-09-22,2237,30,10
209,2020-09-23,2339,32,5
210,2020-09-24,2542,24,16
211,2020-09-25,2766,34,16
212,2020-09-26,2706,29,38
213,2020-09-27,2980,36,8
214,2020-09-28,2909,38,6
215,2020-09-29,3008,48,13
216,2020-09-30,3292,46,13
217,2020-10-01,3257,44,13
218,2020-10-02,3814,22,9
219,2020-10-03,3945,32,20
220,2020-10-04,3996,24,4
221,2020-10-05,4562,56,7
222,2020-10-06,4536,82,21
223,2020-10-07,4981,62,36
224,2020-10-08,5801,49,12
225,2020-10-09,5967,65,14
226,2020-10-10,6486,51,23
227,2020-10-11,6353,54,16
228,2020-10-12,6817,58,13
229,2020-10-13,7349,105,34
230,2020-10-14,7268,76,32
231,2020-10-15,7798,76,29
232,2020-10-16,7969,85,18
233,2020-10-17,8115,76,28
234,2020-10-18,8158,69,14
235,2020-10-19,8001,82,17
236,2020-10-20,8152,90,46
237,2020-10-21,8730,101,57
238,2020-10-22,9265,109,46
239,2020-10-23,9983,109,47
240,2020-10-24,8648,93,55
241,2020-10-25,10187,111,27
242,2020-10-26,10314,75,26
243,2020-10-27,10273,107,69
244,2020-10-28,8084,87,54
245,2020-10-29,10255,84,62
246,2020-10-30,11083,106,87
247,2020-10-31,9787,117,51
248,2020-11-01,8707,109,39
249,2020-11-02,8287,89,29
250,2020-11-03,7752,99,113
251,2020-11-04,7624,101,103
252,2020-11-05,6954,100,87
253,2020-11-06,7248,91,116
254,2020-11-07,6654,122,73
255,2020-11-08,5678,94,43
256,2020-11-09,4688,54,38
257,2020-11-10,4661,74,95
258,2020-11-11,5399,74,76
259,2020-11-12,5635,93,85
260,2020-11-13,6080,86,54
261,2020-11-14,5912,97,85
262,2020-11-15,5436,98,44
263,2020-11-16,4857,85,45
264,2020-11-17,4297,79,88
265,2020-11-18,4606,103,83
266,2020-11-19,5708,95,75
267,2020-11-20,5951,64,51
268,2020-11-21,6051,83,47
269,2020-11-22,5383,67,21
270,2020-11-23,5197,51,54
271,2020-11-24,3962,81,90
272,2020-11-25,4927,75,74
273,2020-11-26,4486,64,74
274,2020-11-27,5772,77,84
275,2020-11-28,4485,67,58
276,2020-11-29,5582,75,25
277,2020-11-30,4595,54,29
278,2020-12-01,4046,59,62
279,2020-12-02,4919,61,66
280,2020-12-03,5615,74,61
281,2020-12-04,5902,54,57
282,2020-12-05,6552,62,39
283,2020-12-06,6787,51,25
284,2020-12-07,7111,75,19
285,2020-12-08,6158,71,71
286,2020-12-09,6574,76,66
287,2020-12-10,8774,72,64
288,2020-12-11,8894,59,65
