,date,province,total,admitted,deaths
273,2020-03-21,Utrecht,51,15,3
274,2020-03-21,Zeeland,12,6,1
275,2020-03-21,Zuid-Holland,82,31,2
276,2020-03-22,Drenthe,4,1,0
277,2020-03-22,Flevoland,9,9,1
278,2020-03-22,Fryslân,1,0,0
279,2020-03-22,Gelderland,64,19,1
280,2020-03-22,Groningen,13,1,0
281,2020-03-22,Limburg,31,22,11
282,2020-03-22,Noord-Brabant,236,31,22
283,2020-03-22,Noord-Holland,78,23,2
284,2020-03-22,Overijssel,27,7,0
285,2020-03-22,Utrecht,36,12,1
286,2020-03-22,Zeeland,2,1,2
287,2020-03-22,Zuid-Holland,104,34,3
288,2020-03-23,Drenthe,7,4,1
289,2020-03-23,Flevoland,7,3,1
290,2020-03-23,Fryslân,5,4,0
291,2020-03-23,Gelderland,81,43,8
292,2020-03-23,Groningen,8,0,0
293,2020-03-23,Limburg,52,36,9
294,2020-03-23,Noord-Brabant,158,55,3
295,2020-03-23,Noord-Holland,68,13,4
296,2020-03-23,Overijssel,35,12,3
297,2020-03-23,Utrecht,63,21,0
298,2020-03-23,Zeeland,8,4,0
299,2020-03-23,Zuid-Holland,61,33,3
300,2020-03-24,Drenthe,6,4,0
301,2020-03-24,Flevoland,7,3,1
302,2020-03-24,Fryslân,2,2,0
303,2020-03-24,Gelderland,68,34,11
304,2020-03-24,Groningen,0,0,0
305,2020-03-24,Limburg,183,45,11
306,2020-03-24,Noord-Brabant,167,32,22
307,2020-03-24,Noord-Holland,127,56,7
308,2020-03-24,Overijssel,25,23,4
309,2020-03-24,Utrecht,51,12,4
310,2020-03-24,Zeeland,6,2,1
311,2020-03-24,Zuid-Holland,107,41,1
312,2020-03-25,Drenthe,5,2,0
313,2020-03-25,Flevoland,11,8,1
314,2020-03-25,Fryslân,10,5,0
315,2020-03-25,Gelderland,99,30,6
316,2020-03-25,Groningen,14,5,0
317,2020-03-25,Limburg,93,53,9
318,2020-03-25,Noord-Brabant,177,88,47
319,2020-03-25,Noord-Holland,129,63,6
320,2020-03-25,Overijssel,69,8,3
321,2020-03-25,Utrecht,94,10,3
322,2020-03-25,Zeeland,14,10,1
323,2020-03-25,Zuid-Holland,128,51,4
324,2020-03-26,Drenthe,12,4,0
325,2020-03-26,Flevoland,10,2,1
326,2020-03-26,Fryslân,18,10,1
327,2020-03-26,Gelderland,123,46,11
328,2020-03-26,Groningen,30,11,1
329,2020-03-26,Limburg,93,38,15
330,2020-03-26,Noord-Brabant,246,59,26
331,2020-03-26,Noord-Holland,155,45,7
332,2020-03-26,Overijssel,72,25,5
333,2020-03-26,Utrecht,80,21,3
334,2020-03-26,Zeeland,14,6,0
335,2020-03-26,Zuid-Holland,154,45,5
336,2020-03-27,Drenthe,8,3,1
337,2020-03-27,Flevoland,12,5,0
338,2020-03-27,Fryslân,12,9,1
339,2020-03-27,Gelderland,135,48,11
340,2020-03-27,Groningen,11,3,0
341,2020-03-27,Limburg,92,30,17
342,2020-03-27,Noord-Brabant,325,47,52
343,2020-03-27,Noord-Holland,205,79,10
344,2020-03-27,Overijssel,59,16,3
345,2020-03-27,Utrecht,88,17,11
346,2020-03-27,Zeeland,18,8,0
347,2020-03-27,Zuid-Holland,202,77,8
348,2020-03-28,Drenthe,17,3,0
349,2020-03-28,Flevoland,13,9,0
350,2020-03-28,Fryslân,14,2,0
351,2020-03-28,Gelderland,134,52,7
352,2020-03-28,Groningen,11,6,0
353,2020-03-28,Limburg,126,27,15
354,2020-03-28,Noord-Brabant,255,156,34
355,2020-03-28,Noord-Holland,162,63,11
356,2020-03-28,Overijssel,69,21,6
357,2020-03-28,Utrecht,79,21,4
358,2020-03-28,Zeeland,11,8,2
359,2020-03-28,Zuid-Holland,255,81,10
360,2020-03-29,Drenthe,15,2,0
361,2020-03-29,Flevoland,17,8,0
362,2020-03-29,Fryslân,22,10,1
363,2020-03-29,Gelderland,179,68,12
364,2020-03-29,Groningen,8,4,0
365,2020-03-29,Limburg,96,50,19
366,2020-03-29,Noord-Brabant,272,180,54
367,2020-03-29,Noord-Holland,149,71,12
368,2020-03-29,Overijssel,74,18,4
369,2020-03-29,Utrecht,87,15,9
370,2020-03-29,Zeeland,14,4,1
371,2020-03-29,Zuid-Holland,159,87,13
372,2020-03-30,Drenthe,4,4,0
373,2020-03-30,Flevoland,6,9,0
