,Date,Rt_low,Rt_avg,Rt_up,population
120,2020-06-16,0.61,0.78,0.97,testpos
121,2020-06-17,0.67,0.84,1.02,testpos
122,2020-06-18,0.7000000000000001,0.91,1.12,testpos
123,2020-06-19,0.76,0.96,1.18,testpos
124,2020-06-20,0.79,1.0,1.21,testpos
125,2020-06-21,0.76,0.98,1.23,testpos
126,2020-06-22,0.76,0.9400000000000001,1.1400000000000001,testpos
127,2020-06-23,0.7000000000000001,0.9,1.11,testpos
128,2020-06-24,0.71,0.89,1.08,testpos
129,2020-06-25,0.7000000000000001,0.91,1.12,testpos
130,2020-06-26,0.7000000000000001,0.92,1.15,testpos
131,2020-06-27,0.72,0.93,1.1400000000000001,testpos
132,2020-06-28,0.7000000000000001,0.92,1.15,testpos
133,2020-06-29,0.73,0.93,1.13,testpos
134,2020-06-30,0.74,0.97,1.21,testpos
135,2020-07-01,0.84,1.06,1.29,testpos
136,2020-07-02,0.9500000000000001,1.21,1.48,testpos
137,2020-07-03,1.05,1.3599999999999999,1.6800000000000002,testpos
138,2020-07-04,1.16,1.46,1.77,testpos
139,2020-07-05,1.18,1.47,1.77,testpos
140,2020-07-06,1.21,1.43,1.67,testpos
141,2020-07-07,1.17,1.4,1.6400000000000001,testpos
142,2020-07-08,1.18,1.3900000000000001,1.6,testpos
143,2020-07-09,1.18,1.3900000000000001,1.6099999999999999,testpos
144,2020-07-10,1.18,1.3900000000000001,1.6,testpos
145,2020-07-11,1.17,1.3599999999999999,1.56,testpos
146,2020-07-12,1.11,1.29,1.49,testpos
147,2020-07-13,1.06,1.21,1.37,testpos
148,2020-07-14,1.01,1.16,1.32,testpos
149,2020-07-15,1.03,1.17,1.31,testpos
150,2020-07-16,1.04,1.21,1.38,testpos
151,2020-07-17,1.11,1.26,1.42,testpos
152,2020-07-18,1.13,1.29,1.46,testpos
153,2020-07-19,1.1400000000000001,1.29,1.45,testpos
154,2020-07-20,1.15,1.28,1.42,testpos
155,2020-07-21,1.15,1.29,1.44,testpos
156,2020-07-22,1.22,1.35,1.48,testpos
157,2020-07-23,1.26,1.4100000000000001,1.56,testpos
158,2020-07-24,1.29,1.43,1.58,testpos
159,2020-07-25,1.28,1.4100000000000001,1.53,testpos
160,2020-07-26,1.21,1.33,1.46,testpos
161,2020-07-27,1.17,1.27,1.37,testpos
162,2020-07-28,1.1400000000000001,1.24,1.35,testpos
163,2020-07-29,1.15,1.25,1.35,testpos
164,2020-07-30,1.16,1.26,1.3599999999999999,testpos
165,2020-07-31,1.15,1.25,1.35,testpos
166,2020-08-01,1.12,1.21,1.3,testpos
167,2020-08-02,1.05,1.13,1.22,testpos
168,2020-08-03,0.98,1.06,1.13,testpos
169,2020-08-04,0.93,1.0,1.08,testpos
170,2020-08-05,0.9,0.97,1.05,testpos
171,2020-08-06,0.89,0.96,1.04,testpos
172,2020-08-07,0.9,0.97,1.04,testpos
173,2020-08-08,0.9,0.97,1.05,testpos
174,2020-08-09,0.88,0.96,1.04,testpos
175,2020-08-10,0.87,0.9400000000000001,1.01,testpos
176,2020-08-11,0.85,0.92,1.0,testpos
177,2020-08-12,0.85,0.92,0.99,testpos
178,2020-08-13,0.85,0.93,1.01,testpos
179,2020-08-14,0.87,0.9500000000000001,1.03,testpos
180,2020-08-15,0.89,0.97,1.06,testpos
181,2020-08-16,0.9,0.99,1.07,testpos
182,2020-08-17,0.92,1.0,1.08,testpos
183,2020-08-18,0.93,1.01,1.1,testpos
184,2020-08-19,0.96,1.04,1.12,testpos
185,2020-08-20,0.98,1.07,1.16,testpos
186,2020-08-21,1.01,1.1,1.19,testpos
187,2020-08-22,1.04,1.12,1.21,testpos
188,2020-08-23,1.04,1.13,1.22,testpos
189,2020-08-24,1.05,1.13,1.22,testpos
190,2020-08-25,1.07,1.15,1.24,testpos
191,2020-08-26,1.12,1.2,1.29,testpos
192,2020-08-27,1.19,1.28,1.37,testpos
193,2020-08-28,1.28,1.37,1.45,testpos
194,2020-08-29,1.33,1.42,1.51,testpos
195,2020-08-30,1.31,1.4,1.49,testpos
196,2020-08-31,1.28,1.35,1.42,testpos
197,2020-09-01,1.26,1.33,1.3900000000000001,testpos
198,2020-09-02,1.26,1.33,1.4,testpos
199,2020-09-03,1.26,1.33,1.4,testpos
200,2020-09-04,1.26,1.32,1.3900000000000001,testpos
201,2020-09-05,1.24,1.3,1.37,testpos
202,2020-09-06,1.2,1.26,1.32,testpos
203,2020-09-07,1.16,1.22,1.27,testpos
204,2020-09-08,1.15,1.2,1.26,testpos
205,2020-09-09,1.17,1.22,1.28,testpos
206,2020-09-10,1.2,1.25,1.31,testpos
207,2020-09-11,1.23,1.28,1.33,testpos
208,2020-09-12,1.23,1.28,1.33,testpos
209,2020-09-13,1.19,1.24,1.28,testpos
210,2020-09-14,1.1400000000000001,1.18,1.23,testpos
211,2020-09-15,1.11,1.16,1.2,testpos
212,2020-09-16,1.12,1.16,1.2,testpos
213,2020-09-17,1.13,1.17,1.22,testpos
214,2020-09-18,1.15,1.19,1.24,testpos
215,2020-09-19,1.15,1.19,1.23,testpos
216,2020-09-20,1.12,1.16,1.2,testpos
217,2020-09-21,1.11,1.15,1.18,testpos
218,2020-09-22,1.13,1.16,1.2,testpos
219,2020-09-23,1.17,1.21,1.24,testpos
220,2020-09-24,1.23,1.26,1.3,testpos
221,2020-09-25,1.28,1.32,1.3599999999999999,testpos
222,2020-09-26,1.3,1.34,1.38,testpos
223,2020-09-27,1.28,1.32,1.35,testpos
224,2020-09-28,1.25,1.28,1.31,testpos
225,2020-09-29,1.23,1.26,1.29,testpos
226,2020-09-30,1.21,1.24,1.27,testpos
227,2020-10-01,1.19,1.22,1.25,testpos
228,2020-10-02,1.18,1.21,1.23,testpos
229,2020-10-03,1.16,1.18,1.21,testpos
230,2020-10-04,1.12,1.15,1.17,testpos
231,2020-10-05,1.09,1.11,1.1400000000000001,testpos
232,2020-10-06,1.08,1.1,1.13,testpos
233,2020-10-07,1.08,1.11,1.13,testpos
234,2020-10-08,1.09,1.12,1.1400000000000001,testpos
235,2020-10-09,1.11,1.13,1.16,testpos
236,2020-10-10,1.11,1.13,1.16,testpos
237,2020-10-11,1.09,1.11,1.13,testpos
238,2020-10-12,1.06,1.08,1.11,testpos
239,2020-10-13,1.05,1.07,1.09,testpos
240,2020-10-14,1.05,1.07,1.1,testpos
241,2020-10-15,1.06,1.08,1.1,testpos
242,2020-10-16,1.06,1.08,1.1,testpos
243,2020-10-17,1.05,1.07,1.09,testpos
244,2020-10-18,1.01,1.04,1.06,testpos
245,2020-10-19,0.97,0.99,1.01,testpos
246,2020-10-20,0.9400000000000001,0.96,0.98,testpos
247,2020-10-21,0.92,0.9400000000000001,0.96,testpos
248,2020-10-22,0.9,0.91,0.93,testpos
249,2020-10-23,0.88,0.9,0.91,testpos
250,2020-10-24,0.86,0.88,0.9,testpos
251,2020-10-25,0.8300000000000001,0.85,0.87,testpos
252,2020-10-26,0.81,0.8300000000000001,0.85,testpos
253,2020-10-27,0.81,0.8300000000000001,0.85,testpos
254,2020-10-28,0.81,0.84,0.86,testpos
255,2020-10-29,0.8300000000000001,0.85,0.87,testpos
256,2020-10-30,0.8300000000000001,0.86,0.88,testpos
257,2020-10-31,0.84,0.86,0.88,testpos
258,2020-11-01,0.84,0.86,0.88,testpos
259,2020-11-02,0.85,0.87,0.89,testpos
260,2020-11-03,0.87,0.89,0.92,testpos
261,2020-11-04,0.9,0.93,0.9500000000000001,testpos
262,2020-11-05,0.9400000000000001,0.96,0.99,testpos
263,2020-11-06,0.96,0.99,1.02,testpos
264,2020-11-07,0.98,1.01,1.03,testpos
265,2020-11-08,0.97,1.0,1.03,testpos
266,2020-11-09,0.96,0.99,1.01,testpos
267,2020-11-10,0.96,0.98,1.01,testpos
268,2020-11-11,0.96,0.99,1.01,testpos
269,2020-11-12,0.97,1.0,1.03,testpos
270,2020-11-13,0.98,1.01,1.03,testpos
271,2020-11-14,0.97,0.99,1.02,testpos
272,2020-11-15,0.9400000000000001,0.96,0.99,testpos
273,2020-11-16,0.91,0.93,0.96,testpos
274,2020-11-17,0.9,0.92,0.9500000000000001,testpos
275,2020-11-18,0.91,0.9400000000000001,0.97,testpos
276,2020-11-19,0.9400000000000001,0.97,1.0,testpos
277,2020-11-20,0.97,1.0,1.03,testpos
278,2020-11-21,0.99,,1.05,testpos
279,2020-11-22,0.99,,1.05,testpos
280,2020-11-23,1.0,,1.05,testpos
281,2020-11-24,1.01,,1.07,testpos
282,2020-11-25,1.03,,1.09,testpos
283,2020-11-26,1.04,,1.11,testpos
284,2020-11-27,1.03,,1.1,testpos
285,2020-11-28,0.99,,1.07,testpos
286,2020-11-29,0.92,,1.02,testpos
287,2020-11-30,0.84,,0.96,testpos
288,2020-12-01,0.78,,0.93,testpos
289,2020-12-02,0.74,,0.9400000000000001,testpos
290,2020-12-03,0.7000000000000001,,0.9500000000000001,testpos
291,2020-12-04,,,,testpos
